Male,Asian,White,Black,top,right,bottom,left
0.35259028158,0.00169635914539,0.919800141293,0.0502974696594,438,629,546,521
0.976810022135,0.000346108468013,0.900439199019,0.0119371238049,331,1393,438,1286
0.984414540777,0.0176384745996,0.162531947303,0.0106442745299,477,906,632,752
0.235186002536,0.0389727783895,0.710630228311,0.00567682178576,438,760,546,653
0.55804548724,0.00175217617784,0.932931935818,0.00763718346894,614,752,769,597
0.0408976439234,0.00851454728914,0.883969881771,0.00428050099694,569,1271,698,1142
0.417937331696,0.00333179558316,0.981441341164,0.0162599529234,426,342,534,235
0.0293067882431,0.0436216535096,0.684054526148,0.0173901158131,558,163,665,55
0.971673058977,0.00169721832968,0.972908095714,0.00405656882476,305,952,395,862
0.409280628442,0.00269923776947,0.973240880969,0.0558696054891,683,941,838,786
0.10249604258,0.0018569232644,0.975710642257,0.00306529246537,555,1099,684,970
0.0744626395258,0.00125586540429,0.828932488928,0.0468614967132,462,1178,570,1071
0.0807504433763,0.0151642951638,0.978764761743,0.00486387979167,438,1286,546,1178
0.987338510411,0.0314992363135,0.813567363715,0.0129449923047,440,1457,569,1328
0.0140076344417,0.0195890954995,0.110564108126,0.289205278405,426,999,534,892
0.907816133089,0.000262970732326,0.952724869346,0.0195966065464,305,404,395,315
