Male,Asian,White,Black,top,right,bottom,left
0.9708973077938061,0.0043317272866940666,0.04197785158848378,0.08695886425130883,462,689,570,581
0.9336905127642704,0.0036515869270643347,0.01631249646710469,0.4759935148362139,291,544,343,492
0.9717166596637725,0.1246380392251572,0.0021340289621367943,0.5615303757232523,295,151,402,44
0.972254795034952,0.010696758345705793,0.020499343092384936,0.8511673664216238,295,592,338,549
0.988439884568162,0.002601550027978066,0.031378075393661074,0.5697104253291507,343,722,405,660
0.9868107162644946,0.009713722837757429,0.22054194721368098,0.01166985588873499,415,792,504,703
0.9895944464058077,0.012606838899721935,0.01799545876415838,0.392206778556866,274,665,326,613
0.9891145838634063,0.028962469157836436,0.02146384818521801,0.8665607274145666,337,625,389,573
0.9839047115472138,0.010194349638330965,0.008263957338401655,0.5101582816902249,385,474,474,384
0.9730713000483167,0.05131175936291672,0.15170183682126936,0.07332207443229997,294,792,357,729
0.9669565473418266,0.02781697310802485,0.026432418010493803,0.09431497225993285,213,353,287,278
0.9696208062547963,0.014902344758746031,0.00614145564046808,0.9374970451880792,245,734,297,682
0.9436002631352298,0.05598452308917989,0.04783640290836422,0.31722984478803395,329,900,403,834
0.9899075681173944,0.03869273480244982,0.0062237830045258485,0.7027101595934764,225,446,288,384
0.9841743170439817,0.05831490410163191,0.009388869773982822,0.590230356161073,326,481,378,429
