Male,Asian,White,Black,top,right,bottom,left
0.009249296131629208,0.006314752223709623,0.8956286077129912,0.009090495603627107,375,116,464,26
0.03650044368852215,0.23338592358243584,0.7619291346911361,0.0014141183109172733,450,378,558,270
0.96577365030642,0.0074719766095509045,0.8742068150158037,0.0026671095305709175,235,987,343,880
0.8267299449798817,0.0391943824898815,0.20317477169571252,0.001944012778824534,395,1101,484,1011
0.9763046908483191,0.034714886244045735,0.7554649095278294,0.014237544582382883,311,726,440,597
