Male,Asian,White,Black,top,right,bottom,left
0.9864279565331981,0.12050832716744167,0.45950818706703245,0.0007544175858496608,63,361,138,287
0.012233053693222324,0.008877712726759137,0.690166158551999,0.003683516445843591,225,515,288,453
0.9191659519887009,0.007959422997808292,0.21758907792146218,0.08463464991086,88,519,163,444
0.9346894401796425,0.008079954329710076,0.5123375651244457,0.002625127410948214,311,726,433,597
0.896716270388284,0.04866646463415977,0.0653242962093251,0.014775975815223786,32,446,94,384
0.024536210674180107,0.1488212537772296,0.10637483008705771,0.005907493126447965,329,577,403,502
0.9841296156125577,0.005601128584390956,0.580656587760364,0.004582060114611284,129,577,191,515
0.9872550885598925,0.007010800904085134,0.643756302735059,0.01694087760181771,176,424,265,335
0.965467052140685,0.0023774949175501543,0.33297870941782914,0.004863072538938891,319,306,426,199
0.010230608287618976,0.19410761905437765,0.14048195897841587,0.015474256353327095,213,619,287,544
0.989210970653062,0.003659145365511814,0.6889228268010661,0.000790161776257414,263,242,433,56
0.03217682653391149,0.31589965405029,0.11878667275750338,0.024196704222646533,191,695,253,633
0.9385165599847294,0.039107666688562345,0.22136921656484265,0.0026549341161930216,156,205,245,116
0.8991480839134284,0.04287489271709773,0.08639757411378415,0.191931005798409,88,270,163,196
