Male,Asian,White,Black,top,right,bottom,left
0.0494003243042,0.95987501983,0.0332480021531,0.0160323432312,153,279,205,227
0.164255146389,0.966879801816,0.0114181232649,0.00492417684857,130,636,182,584
0.957784409336,0.948233864305,0.00909018406374,0.0439610868546,170,66,222,14
0.981972039078,0.972576434964,0.0602343629156,0.00314243202321,141,463,193,412
0.192142074163,0.980214878052,0.02353211672,0.00216103493856,267,246,329,183
0.75259183724,0.635340064407,0.107559134578,0.0048152146277,14,101,50,65
0.0391927093092,0.884069524493,0.0184124707555,0.0022749716034,38,521,74,485
0.00810405532903,0.988260678786,0.00487296943781,0.00389541357044,2,633,38,597
0.0107200862634,0.038425938212,0.325165567073,0.00191854414852,246,494,308,432
0.0430148704417,0.93992381697,0.0577280485519,0.00212659358348,6,381,42,345
0.00293389512196,0.14392431913,0.204369590174,0.00770805558582,2,273,38,237
