Male,Asian,White,Black,top,right,bottom,left
0.453000028132946,0.0007471225356787193,0.9395467731074855,0.003839755882018531,253,476,408,322
0.9213781422224085,0.0005344820454161465,0.9251557240201876,0.0030572633557493976,266,712,489,489
0.9924628579878431,0.00513302993802525,0.798465135617231,0.01029660309284787,8,700,116,593
0.09039973451023427,0.0036030773280686635,0.9914338614861723,0.006206709371824399,98,253,253,98
0.9926451509628418,0.19535471376243,0.5246620879079996,0.00977422660901794,80,552,155,478
0.06947286143467298,0.0005017600906482698,0.9840272684494634,0.012540059366660963,68,450,175,342
0.9434382307233667,0.014866891748688184,0.015640689423477697,0.9561688288128277,167,889,322,734
0.037311183474756975,0.030567025010490526,0.8219200702562821,0.012322642227669931,211,354,340,225
