Male,Asian,White,Black,top,right,bottom,left
0.9928040071086832,0.07060496525243597,0.7903668218670785,0.003083001611322606,268,78,320,26
0.9656324427599283,0.0018908715511818527,0.9136230283798361,0.023914593785055432,239,432,301,370
0.9791863356836501,0.004948657190715767,0.6971928377339061,0.013169765835044166,214,199,257,156
0.9329763752220315,0.002013356245986991,0.7238666297110722,0.02537094638015194,213,619,287,544
0.9663649377476493,0.016447353436800097,0.005725649184685342,0.7628265002430829,280,325,331,273
0.9898037541402006,0.03542813623802656,0.9495442954937501,0.001566380080590766,247,275,290,232
