Male,Asian,White,Black,top,right,bottom,left
0.9896789126911313,0.004388814137305582,0.8856751848557527,0.013190350084332279,170,180,214,136
0.33416843830747794,0.02919644265298259,0.915682473833167,0.002078745270558949,228,703,271,660
0.1013469948341792,0.003954970423128783,0.993651956968437,0.002982080063769539,250,173,286,137
0.012163029729275297,0.01390349651457729,0.902600231602011,0.003968566094093642,185,655,228,612
0.20174697604477362,0.003537104671755249,0.9981181272631712,0.00335018864640177,55,88,98,45
0.03812008590164451,0.011282530189555327,0.6348137829223283,0.03347673450951137,242,585,278,549
0.9739305962613946,0.014357404776424472,0.2042328159889799,0.03547553043674353,367,708,410,664
0.04830268805231651,0.011216049363572952,0.6386485128124993,0.007817682186001075,358,213,401,170
0.9884146598998403,0.3566980021856455,0.6627673413718406,0.0067508857893494156,108,175,151,132
0.9599604268272481,0.0009496547424856197,0.9184102003502215,0.0021891766769391746,79,304,122,261
0.9763787149469478,0.013724846250462648,0.9764233130877632,0.005187822023931012,44,429,95,377
0.061907015802769354,0.01369752087546445,0.9841069319558643,0.0010994287909793785,38,777,74,741
0.0433246853319516,0.021048672932339675,0.13850983710710246,0.15302902476520847,291,268,343,216
0.9383606473184523,0.0455664371074524,0.9683212321868393,0.002207725172861882,78,510,130,458
0.9875528914751441,0.005541333867424048,0.9884458679479156,0.00957923462331374,319,103,362,59
0.9883554029284586,0.10844905104334433,0.9158162034520094,0.009766532657264916,2,725,38,689
0.7871425467619898,0.0024615037431817074,0.7767433815254091,0.0010359156395409774,32,682,84,631
0.5146930364621038,0.04490187044149289,0.9061645442957195,0.0015154470307263434,102,589,138,553
0.9040453810078932,0.3205146332672196,0.014769222423825518,0.2671614441119454,70,249,106,213
0.9450300176321428,0.004243047393422096,0.9729189026979284,0.009164610339698615,122,653,158,617
