Male,Asian,White,Black,top,right,bottom,left
0.0219642654442,0.00906685340946,0.972273100252,0.00138384472759,294,633,330,597
0.325977121274,0.0309911635347,0.855910833253,0.00615402468265,468,943,511,900
0.00491630249227,0.0455785777592,0.547982711794,0.000316895638054,270,261,306,225
0.215379070343,0.151954292226,0.71021800008,0.00154972252077,425,309,468,266
0.0587883313594,0.0409005639274,0.979311777716,0.000491077179285,338,437,374,401
0.978559393572,0.00386917703746,0.94414954158,0.00844980252575,435,821,487,769
0.944143954252,0.00982549889709,0.79735513188,0.00146970285685,378,55,429,3
0.0273325226315,0.0223283628822,0.510315876485,0.00322128500696,487,376,530,333
0.996391025692,0.00792024215516,0.991576642625,0.00792378480472,314,45,358,2
0.441186462725,0.0137414784639,0.906797578173,0.00146231908786,343,268,395,216
0.537161761255,0.937601808537,0.00851649241713,0.00946853788719,270,821,306,785
0.294136021043,0.00289398928494,0.831078988555,0.00273203497611,298,497,334,461
0.235812434226,0.0415826606849,0.535719168864,0.00137553161011,487,703,530,660
0.469005816118,0.0115712695339,0.966054794748,0.00206162289375,454,50,497,7
0.093802822621,0.00594224938678,0.984209793945,0.00165179132582,406,885,449,842
0.116096307347,0.0239761770251,0.907315701436,0.00145927370343,468,208,511,165
0.0353840766919,0.025614067018,0.946025016139,0.00176588346081,420,357,463,314
0.0145971181543,0.00711551723547,0.970570559096,0.000519113244018,206,805,242,769
0.0543682628713,0.163503329421,0.291573340068,0.00153068252362,362,485,398,449
0.520516746854,0.0029147819709,0.988770333617,0.00495225437082,186,865,222,829
0.216626765425,0.0693619364448,0.445624092237,0.000839114250954,305,904,348,861
0.840342900948,0.000846951798234,0.963918942295,0.0185551569107,174,405,210,369
0.0532307725569,0.0158000344976,0.860946653979,0.000761248358113,478,626,521,583
0.626544405173,0.0138815343605,0.89142089534,0.00473190903008,353,847,396,804
0.0874298414929,0.00348660058604,0.954267409158,0.000511558424468,298,585,334,549
