Male,Asian,White,Black,top,right,bottom,left
0.996186405714,0.00112636413836,0.988448195377,0.00402887968479,1283,736,1345,674
0.992327176272,0.00188269311337,0.906859342207,0.0115347212558,1478,607,1530,556
0.728537134234,0.968455563698,0.00451832912617,0.0149844891717,1442,1538,1504,1476
0.972820642331,0.0108732034714,0.802562881943,0.0128770639867,1270,988,1322,936
0.941225230523,0.6043334509,0.0951387689902,0.00227298848943,1373,2374,1435,2312
0.974566634291,0.0165986259454,0.829948113913,0.00397542369841,1331,2609,1393,2547
0.975975038121,0.311852309816,0.0903889851315,0.00478587469351,1276,1427,1338,1365
0.995074613881,0.890775184476,0.0932952477895,0.00877728303778,1373,1455,1435,1393
0.784736358467,0.894570790129,0.0509507671402,0.0206488254156,1276,2289,1328,2238
0.954645853412,0.00166956855729,0.941042930577,0.00778887607785,1456,2817,1518,2755
0.957975451403,0.0553108771646,0.893499242201,0.00339608906096,1483,2056,1545,1994
0.984498143739,0.102286294088,0.800175001653,0.000782378913377,1483,2264,1545,2202
0.99210095238,0.964438763207,0.0276162462738,0.00596056788386,1270,1633,1322,1581
0.973264555171,0.971591583108,0.0249248024914,0.0149646241264,1293,2082,1345,2030
0.996712006634,0.0621121649733,0.134714889878,0.022684102819,1386,2157,1437,2105
0.297400914812,0.922721304081,0.0553826809952,0.000538247671486,1525,2533,1587,2471
0.993369280441,0.846102579487,0.00546143576475,0.104995353382,1456,363,1518,301
0.980461264542,0.114841815729,0.626953136758,0.0154239359485,1469,163,1532,100
0.910270178717,0.873902666215,0.019559537842,0.0293302275849,1400,1213,1463,1151
0.987969435428,0.00714979506213,0.722947087509,0.00790269689398,1432,1068,1484,1016
0.996976216995,0.02381504428,0.782548001287,0.0161886252424,1276,2791,1328,2739
0.807489474949,0.0103233415414,0.813096904153,0.00559836556893,1276,2526,1328,2474
0.183780567093,0.0601337791717,0.912439971424,0.00463504010714,1270,1207,1322,1155
0.959679185811,0.00641475462995,0.949140305634,0.0173388772874,1380,2791,1432,2739
0.980416217525,0.0653007893689,0.917323048277,0.00451760295778,1259,1857,1311,1806
0.79572950117,0.0089103264446,0.0356147907203,0.890133755586,1357,1932,1409,1880
0.97887241174,0.0266365206467,0.872946859786,0.00577814743741,1345,992,1407,930
0.0907518863759,0.00329297904686,0.960141041792,0.00149417820199,1476,1289,1539,1227
0.910594606262,0.0782671848058,0.00722781654068,0.739406573065,1472,815,1524,763
0.962016773232,0.0154393898605,0.813006914551,0.008824120619,1432,1796,1507,1722
0.895072641059,0.039366622029,0.00989177778907,0.752392002996,1345,1704,1407,1642
0.0695580871106,0.0140857205461,0.798739003983,0.00378630397375,1363,613,1414,561
0.991466270716,0.0027924761997,0.549355266769,0.0327191761627,1345,429,1397,377
0.937427291098,0.0478972358151,0.903248888352,0.00274259687293,1366,3032,1440,2958
0.869131845287,0.0030947993094,0.961573254762,0.00567864965691,1363,809,1414,757
